part_of_speech,gloss,target_child_age,corpus_name,speaker_role,age,role
on on,呜 呜,54.00110885233783,Zhou2,Target_Child,54,child
co neg adj on,哦 不 好看 啵,54.00110885233783,Zhou2,Target_Child,54,child
on,乒乒,48.000985646522516,Zhou2,Target_Child,48,child
pro cl n adv v on on adv v v asp,这 个 跳跳糖 一 吃 砰 砰 就 跳 起来 了,48.000985646522516,Zhou2,Mother,48,adult
co:int pro cl n adv v adv on on v asp,就是 这 个 跳跳糖 一 吃 就 砰 砰 起来 了,48.000985646522516,Zhou2,Mother,48,adult
num adv n v asp v cpt on on n v v v:resc asp n,一 只 皮皮鼠 听见 了 吓 得 咕噜 咕噜 滚 下来 跌 到 了 床,48.000985646522516,Zhou2,Mother,48,adult
adv on on nom n v,结果 咕噜 咕噜 的 滚 下来,48.000985646522516,Zhou2,Mother,48,adult
on on v v asp,砰 砰 跳 起来 了,48.000985646522516,Zhou2,Mother,48,adult
on on,砰 砰,48.000985646522516,Zhou2,Target_Child,48,child
on on,这 个 噔 噔 噔,54.00110885233783,Zhou2,Target_Child,54,child
pro cl on,这 个 噔,54.00110885233783,Zhou2,Target_Child,54,child
adv prep n post on on v v asp,又 在 橱子 上面 砰 砰 跳 起来 了,48.000985646522516,Zhou2,Mother,48,adult
adv adv adv n v v:resc asp v cpt on on v asp v v v:resc asp n nom,又 一 只 皮皮鼠 听 到 了 吓 得 咕噜 咕噜 滚 了 下来 跌 到 了 衣橱 的,48.000985646522516,Zhou2,Mother,48,adult
on,咚,54.00110885233783,Zhou2,Target_Child,54,child
on,砰,48.000985646522516,Zhou2,Mother,48,adult
n:relat n:relat v pro:wh n adv adj sfp adv v:cop adj num adv n v v:resc asp v cpt on on n v asp,爸爸 妈妈 说 什么 声音 在 响 啊 真 是 奇怪 一 只 皮皮鼠 听 到 了 吓 得 咕噜 咕噜 滚 下来 了,54.00110885233783,Zhou2,Mother,54,adult
sfp on,啊 呜,54.00110885233783,Zhou2,Target_Child,54,child
on adv v v asp tag,砰 又 跳 起来 了 对吧,54.00110885233783,Zhou2,Mother,54,adult
n:relat n:relat v pro:wh n adv prep adj sfp adv adj pro adv on adv asp adv adv adv n v asp v cpt on n v,爸爸 妈妈 说 什么 声音 还 在 响 啊 真 奇怪 他们 又 咚 上楼 了 又 一 只 皮皮鼠 听见 了 吓 得 咕噜噜 滚 下来,54.00110885233783,Zhou2,Mother,54,adult
